,Name,ID,Position,Link,Start Year,End Year
9693,Dinelson Lamet,17186,P,statss.aspx?playerid=17186&position=P,2017,2017
9741,Matt Langwell,8130,P,statss.aspx?playerid=8130&position=P,2013,2013
9747,John Lannan,7080,P,statss.aspx?playerid=7080&position=P,2007,2014
9763,Juan Lara,2613,P,statss.aspx?playerid=2613&position=P,2006,2007
9808,Mat Latos,3815,P,statss.aspx?playerid=3815&position=P,2009,2017
9835,Brian Lawrence,1045,P,statss.aspx?playerid=1045&position=P,2001,2007
9858,Tommy Layne,7501,P,statss.aspx?playerid=7501&position=P,2012,2017
9861,Raudel Lazo,14077,P,statss.aspx?playerid=14077&position=P,2015,2015
9871,Brent Leach,4576,P,statss.aspx?playerid=4576&position=P,2009,2009
9872,Brandon League,3731,P,statss.aspx?playerid=3731&position=P,2004,2014
9885,Jack Leathersich,12562,P,statss.aspx?playerid=12562&position=P,2015,2017
9892,Sam LeCure,4664,P,statss.aspx?playerid=4664&position=P,2010,2015
9896,Wil Ledezma,1669,P,statss.aspx?playerid=1669&position=P,2003,2011
9900,Dave Lee,1843,P,statss.aspx?playerid=1843&position=P,1999,2004
9901,C.C. Lee,5177,P,statss.aspx?playerid=5177&position=P,2013,2015
9915,Cliff Lee,1636,P,statss.aspx?playerid=1636&position=P,2002,2014
9927,Zach Lee,11468,P,statss.aspx?playerid=11468&position=P,2015,2017
9932,Charlie Leesman,9124,P,statss.aspx?playerid=9124&position=P,2013,2014
9950,Justin Lehr,2163,P,statss.aspx?playerid=2163&position=P,2004,2009
9956,Jon Leicester,2092,P,statss.aspx?playerid=2092&position=P,2004,2007
9965,Al Leiter,883,P,statss.aspx?playerid=883&position=P,1987,2005
9997,Arcenio Leon,8846,P,statss.aspx?playerid=8846&position=P,2017,2017
10004,Arnold Leon,5595,P,statss.aspx?playerid=5595&position=P,2015,2016
10026,Anthony Lerew,3440,P,statss.aspx?playerid=3440&position=P,2005,2010
10028,Chris Leroux,7645,P,statss.aspx?playerid=7645&position=P,2009,2014
10035,Curtis Leskanic,694,P,statss.aspx?playerid=694&position=P,1993,2004
10047,Al Levine,20,P,statss.aspx?playerid=20&position=P,1996,2005
10050,Allen Levrault,925,P,statss.aspx?playerid=925&position=P,2000,2003
10056,Rommie Lewis,3588,P,statss.aspx?playerid=3588&position=P,2010,2011
10058,Jensen Lewis,3384,P,statss.aspx?playerid=3384&position=P,2007,2010
10060,Scott Lewis,7322,P,statss.aspx?playerid=7322&position=P,2008,2009
10077,Colby Lewis,1259,P,statss.aspx?playerid=1259&position=P,2002,2016
10090,Brad Lidge,563,P,statss.aspx?playerid=563&position=P,2002,2012
10091,Cory Lidle,926,P,statss.aspx?playerid=926&position=P,1997,2006
10092,Jon Lieber,287,P,statss.aspx?playerid=287&position=P,1994,2008
10099,Pat Light,13427,P,statss.aspx?playerid=13427&position=P,2016,2016
10100,Kerry Ligtenberg,100,P,statss.aspx?playerid=100&position=P,1997,2005
10107,Ted Lilly,833,P,statss.aspx?playerid=833&position=P,1999,2013
10108,Chang-Yong Lim,14445,P,statss.aspx?playerid=14445&position=P,2013,2013
10109,Jose Lima,475,P,statss.aspx?playerid=475&position=P,1994,2006
10114,Tim Lincecum,5705,P,statss.aspx?playerid=5705&position=P,2007,2016
10115,Brad Lincoln,4241,P,statss.aspx?playerid=4241&position=P,2010,2014
10116,Mike Lincoln,1457,P,statss.aspx?playerid=1457&position=P,1999,2010
10125,Josh Lindblom,7882,P,statss.aspx?playerid=7882&position=P,2011,2017
10133,Jacob Lindgren,16215,P,statss.aspx?playerid=16215&position=P,2015,2015
10138,Shane Lindsay,3881,P,statss.aspx?playerid=3881&position=P,2011,2011
10147,Matt Lindstrom,4604,P,statss.aspx?playerid=4604&position=P,2007,2014
10148,Scott Linebrink,564,P,statss.aspx?playerid=564&position=P,2000,2011
10153,Jon Link,3894,P,statss.aspx?playerid=3894&position=P,2010,2010
10157,Doug Linton,1662,P,statss.aspx?playerid=1662&position=P,1992,2003
10168,Pedro Liriano,2119,P,statss.aspx?playerid=2119&position=P,2004,2005
10177,Jesse Litsch,3688,P,statss.aspx?playerid=3688&position=P,2007,2011
10191,Wes Littleton,6236,P,statss.aspx?playerid=6236&position=P,2006,2008
10199,Bobby Livingston,3876,P,statss.aspx?playerid=3876&position=P,2006,2007
10204,Radhames Liz,5843,P,statss.aspx?playerid=5843&position=P,2007,2015
10208,Graeme Lloyd,783,P,statss.aspx?playerid=783&position=P,1993,2003
10209,Kyle Lloyd,15378,P,statss.aspx?playerid=15378&position=P,2017,2017
10210,Chia-Jen Lo,5440,P,statss.aspx?playerid=5440&position=P,2013,2013
10213,Esteban Loaiza,1310,P,statss.aspx?playerid=1310&position=P,1995,2008
10219,Kyle Lobstein,9178,P,statss.aspx?playerid=9178&position=P,2014,2016
10227,Jeff Locke,2929,P,statss.aspx?playerid=2929&position=P,2011,2017
10237,Kameron Loe,4422,P,statss.aspx?playerid=4422&position=P,2004,2013
10240,Adam Loewen,2134,P,statss.aspx?playerid=2134&position=P,2006,2016
10241,Carlton Loewer,1713,P,statss.aspx?playerid=1713&position=P,1998,2003
10255,Kyle Lohse,739,P,statss.aspx?playerid=739&position=P,1998,2016
10298,Braden Looper,526,P,statss.aspx?playerid=526&position=P,1998,2009
10299,Aaron Looper,1788,P,statss.aspx?playerid=1788&position=P,2003,2003
10309,Albie Lopez,102,P,statss.aspx?playerid=102&position=P,1993,2003
10312,Javier Lopez,1663,P,statss.aspx?playerid=1663&position=P,2003,2016
10313,Wilton Lopez,4227,P,statss.aspx?playerid=4227&position=P,2009,2014
10314,Aquilino Lopez,1671,P,statss.aspx?playerid=1671&position=P,2003,2008
10324,Rodrigo Lopez,150,P,statss.aspx?playerid=150&position=P,2000,2012
10330,Arturo Lopez,3319,P,statss.aspx?playerid=3319&position=P,2009,2009
10337,Andrew Lorraine,1583,P,statss.aspx?playerid=1583&position=P,1994,2002
10349,Shane Loux,1613,P,statss.aspx?playerid=1613&position=P,2003,2012
10370,Derek Lowe,199,P,statss.aspx?playerid=199&position=P,1997,2013
10371,Sean Lowe,994,P,statss.aspx?playerid=994&position=P,1997,2003
10372,Mark Lowe,7416,P,statss.aspx?playerid=7416&position=P,2006,2016
10375,Devon Lowery,3500,P,statss.aspx?playerid=3500&position=P,2008,2008
10380,Noah Lowry,1833,P,statss.aspx?playerid=1833&position=P,2003,2007
10412,Cory Luebke,1984,P,statss.aspx?playerid=1984&position=P,2010,2016
10415,Josh Lueke,5722,P,statss.aspx?playerid=5722&position=P,2011,2014
10416,Lucas Luetge,8337,P,statss.aspx?playerid=8337&position=P,2012,2015
10419,Ruddy Lugo,2710,P,statss.aspx?playerid=2710&position=P,2006,2007
10424,Mark Lukasiewicz,21,P,statss.aspx?playerid=21&position=P,2001,2002
10440,David Lundquist,1046,P,statss.aspx?playerid=1046&position=P,2002,2002
10484,Brandon Lyon,1312,P,statss.aspx?playerid=1312&position=P,2001,2013
10507,Chris Mabeus,1892,P,statss.aspx?playerid=1892&position=P,2006,2006
