,Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
67,1992,Cardinals,2090.0,5594.0,6230.0,1464.0,1064.0,262.0,44.0,94.0,631.0,599.0,495.0,49.0,996.0,32.0,41.0,68.0,97.0,208.0,118.0,0.262,7.9,16.0,0.5,0.323,0.375,0.698,0.113,5.1,0.301, , ,-5.0,664.0,-8.9,0.316,99.0
68,1992,White Sox,1724.0,5498.0,6267.0,1434.0,1019.0,269.0,36.0,110.0,738.0,686.0,622.0,48.0,784.0,31.0,69.0,47.0,136.0,160.0,57.0,0.261,9.9,12.5,0.79,0.336,0.383,0.718,0.122,5.0,0.283, , ,8.5,718.0,41.6,0.326,104.0
69,1992,Orioles,1731.0,5485.0,6292.0,1423.0,996.0,243.0,36.0,148.0,705.0,680.0,647.0,55.0,827.0,51.0,59.0,50.0,139.0,89.0,48.0,0.259,10.3,13.1,0.78,0.34,0.398,0.738,0.138,4.1,0.279, , ,-2.3,760.0,80.0,0.334,107.0
70,1992,Royals,1691.0,5501.0,6084.0,1411.0,1010.0,284.0,42.0,75.0,610.0,568.0,439.0,30.0,741.0,51.0,46.0,45.0,121.0,131.0,71.0,0.256,7.2,12.2,0.59,0.315,0.364,0.679,0.108,4.8,0.282, , ,-2.4,619.0,-38.3,0.309,88.0
71,1992,Padres,2152.0,5476.0,6074.0,1396.0,976.0,255.0,30.0,135.0,617.0,576.0,453.0,67.0,864.0,26.0,41.0,78.0,127.0,69.0,52.0,0.255,7.5,14.2,0.52,0.313,0.386,0.699,0.131,3.8,0.279, , ,-7.5,638.0,-17.9,0.314,95.0
72,1992,Cubs,2242.0,5590.0,6156.0,1420.0,1054.0,221.0,41.0,104.0,593.0,566.0,417.0,49.0,816.0,31.0,40.0,78.0,121.0,77.0,51.0,0.254,6.8,13.3,0.51,0.307,0.364,0.671,0.11,4.1,0.279, , ,-5.6,597.0,-67.5,0.303,86.0
73,1992,Phillies,2060.0,5500.0,6172.0,1392.0,983.0,255.0,36.0,118.0,686.0,639.0,509.0,45.0,1059.0,52.0,46.0,64.0,111.0,127.0,31.0,0.253,8.2,17.2,0.48,0.32,0.377,0.697,0.124,5.2,0.292, , ,11.9,658.0,-8.6,0.316,98.0
74,1992,Rangers,1858.0,5537.0,6238.0,1387.0,939.0,266.0,23.0,159.0,682.0,647.0,550.0,36.0,1036.0,50.0,45.0,56.0,115.0,81.0,44.0,0.25,8.8,16.6,0.53,0.321,0.393,0.714,0.142,3.8,0.28, , ,-2.2,706.0,32.1,0.324,101.0
75,1992,Astros,2332.0,5480.0,6163.0,1350.0,961.0,255.0,38.0,96.0,608.0,582.0,506.0,65.0,1025.0,48.0,40.0,88.0,97.0,139.0,54.0,0.246,8.2,16.6,0.49,0.313,0.359,0.673,0.113,4.9,0.285, , ,5.7,607.0,-58.8,0.305,94.0
76,1992,Giants,2280.0,5456.0,6070.0,1330.0,969.0,220.0,36.0,105.0,574.0,532.0,435.0,53.0,1067.0,39.0,39.0,101.0,111.0,112.0,64.0,0.244,7.2,17.6,0.41,0.302,0.355,0.657,0.111,4.5,0.283, , ,-3.5,562.0,-93.6,0.297,88.0
77,1992,Mets,2308.0,5340.0,6061.0,1254.0,885.0,259.0,17.0,93.0,599.0,564.0,572.0,53.0,956.0,28.0,45.0,74.0,117.0,129.0,52.0,0.235,9.4,15.8,0.6,0.31,0.342,0.652,0.107,4.4,0.268, , ,4.4,564.0,-90.5,0.298,86.0
78,1993,Yankees,1724.0,5615.0,6359.0,1568.0,1072.0,294.0,24.0,178.0,821.0,793.0,629.0,47.0,910.0,43.0,50.0,22.0,148.0,39.0,35.0,0.279,9.9,14.3,0.69,0.353,0.435,0.789,0.156,3.2,0.304, , ,-5.2,879.0,118.6,0.35,114.0
79,1993,Giants,2229.0,5557.0,6271.0,1534.0,1064.0,269.0,33.0,168.0,808.0,759.0,516.0,88.0,930.0,46.0,50.0,102.0,118.0,120.0,65.0,0.276,8.2,14.8,0.55,0.34,0.427,0.767,0.151,4.7,0.303, , ,-1.7,797.0,47.5,0.337,107.0
80,1993,Tigers,1701.0,5620.0,6505.0,1546.0,1048.0,282.0,38.0,178.0,899.0,853.0,765.0,50.0,1122.0,35.0,52.0,33.0,103.0,104.0,63.0,0.275,11.8,17.2,0.68,0.362,0.434,0.796,0.159,4.6,0.313, , ,-3.8,922.0,144.6,0.354,114.0
81,1993,Rockies,2245.0,5517.0,6073.0,1507.0,1028.0,278.0,59.0,142.0,758.0,704.0,388.0,40.0,944.0,46.0,52.0,70.0,127.0,146.0,90.0,0.273,6.4,15.5,0.41,0.323,0.422,0.745,0.149,5.7,0.304, , ,-7.1,731.0,5.5,0.328,84.0
82,1993,Cubs,2268.0,5627.0,6217.0,1521.0,1069.0,259.0,32.0,161.0,738.0,706.0,446.0,61.0,923.0,34.0,42.0,67.0,131.0,100.0,43.0,0.27,7.2,14.8,0.48,0.325,0.414,0.739,0.143,4.5,0.297, , ,3.4,734.0,-8.7,0.326,95.0
83,1993,Pirates,2160.0,5549.0,6269.0,1482.0,1055.0,267.0,50.0,110.0,707.0,664.0,536.0,50.0,972.0,55.0,52.0,76.0,125.0,92.0,55.0,0.267,8.6,15.5,0.55,0.335,0.393,0.727,0.126,4.7,0.304, , ,-3.1,734.0,-14.8,0.324,95.0
84,1993,Orioles,1687.0,5508.0,6310.0,1470.0,1002.0,287.0,24.0,157.0,786.0,744.0,655.0,52.0,930.0,41.0,56.0,49.0,130.0,73.0,54.0,0.267,10.4,14.7,0.7,0.346,0.413,0.759,0.146,3.7,0.293, , ,-6.4,811.0,57.1,0.338,104.0
