"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Didi Gregorius","Yankees","NYY @ BAL","SS","4.55","1.15",".71",".22",".01",".21",".62",".71",".04",".02",".32",".52","7.52","11.77","8.94","6012"
"Brandon Belt","Giants","PHI @ SF","1B","4.28","1.04",".58",".27",".03",".16",".60",".68",".02",".01",".61",".96","7.55","11.79","8.80","10264"
"Salvador Perez","Royals","OAK @ KC","C","4.34","1.11",".63",".20",".01",".27",".60",".79",".01",".01",".20",".77","7.46","11.70","8.85","7304"
"Tommy Pham","Cardinals","PIT @ STL","CF","4.38","1.09",".72",".19",".03",".16",".61",".57",".12",".06",".52","1.11","7.50","11.65","8.90","2967"
"Jed Lowrie","Athletics","OAK @ KC","2B","4.79","1.22",".77",".30",".02",".13",".70",".52",".01",".01",".51",".73","7.41","11.52","8.79","4418"
"Eric Hosmer","Padres","CIN @ SD","1B","4.41","1.14",".72",".21",".02",".19",".64",".51",".04",".02",".53",".73","7.41","11.50","8.79","3516"
"Daniel Descalso","Diamondbacks","MIA @ ARI","2B","4.30","1.05",".59",".25",".07",".15",".61",".66",".03",".02",".49",".74","7.41","11.57","8.71","8392"
"Asdrubal Cabrera","Mets","CHC @ NYM","2B","4.60","1.12",".71",".24",".01",".16",".69",".57",".03",".02",".53",".74","7.41","11.54","8.73","4962"
"Joey Gallo","Rangers","TEX @ LAA","LF","4.15",".81",".33",".14",".01",".32",".57",".69",".03",".02",".46","1.42","7.45","11.64","8.63","14128"
"Christian Yelich","Brewers","MIL @ CWS","LF","4.83","1.05",".70",".18",".02",".14",".66",".53",".08",".05",".65","1.10","7.40","11.49","8.69","11477"
"Ozzie Albies","Braves","WSH @ ATL","2B","4.49","1.14",".70",".23",".06",".15",".67",".49",".14",".07",".29",".90","7.32","11.36","8.81","16556"
"Brandon Nimmo","Mets","CHC @ NYM","CF","4.72",".93",".58",".19",".04",".12",".66",".41",".07",".05",".98","1.16","7.47","11.54","8.62","12927"
"Yonder Alonso","Indians","CLE @ MIN","1B","4.47","1.05",".62",".22",".00",".20",".60",".67",".01",".01",".51",".89","7.37","11.51","8.64","2530"
"Starling Marte","Pirates","PIT @ STL","CF","4.51","1.31",".95",".19",".04",".12",".55",".52",".18",".08",".25",".81","7.24","11.23","8.89","9241"
"Jeimer Candelario","Tigers","TOR @ DET","3B","4.33","1.04",".55",".29",".05",".15",".59",".68",".01",".00",".50",".91","7.35","11.49","8.60","13621"
"Miguel Sano","Twins","CLE @ MIN","3B","4.39",".95",".47",".19",".02",".27",".60",".65",".01",".00",".43","1.71","7.35","11.46","8.59","12164"
